YEA	MON	DAY	PRO	NUM	COU	H	MN	SEC	TZ	LAT	LON	COD	CITY		

1888	12	2	C	1176	B	21	47	0	0	51N13	3E15	WVL	MOORSLEDE
1888	12	4	C	140	F	5	41	4	0	49N46	4E44	08	SEDAN
1888	12	21	C	17	F	0	38	32	0	43N18	5E22	13	MARSEILLE
1889	1	8	C	131	F	22	20	40	0	48N50	2E20	75	PARIS 4E
1889	3	2	C	1930	F	2	1	28	0	43N18	0W22	64	ANGLET
1889	4	17	C	511	B	20	43	0	0	50N51	4E15	BRA	MOLENBEEK ST JE
1889	4	25	C	1037	B	14	47	0	0	51N13	3E15	WVL	REKKEM
1889	5	15	C	1157	B	2	45	0	0	51N 5	3E45	OVL	LOVENDEGEM
1889	5	22	C	359	I	6	10	4	-1	45N24	8E30	VC	COSSATO DINOVARA
1889	5	25	C	139	F	11	54	40	0	44N 1	1E20	82	MONTAUBAN
1889	5	26	C	1080	B	12	42	0	0	50N20	4E30	NAM	FLOREFFE
1889	6	2	C	288	I	20	40	4	-1	45N 0	9E 0	AL	TORTONA
1889	6	13	C	213	F	5	37	8	0	45N11	5E43	38	MONTFERRAT
1889	7	19	C	171	F	17	48	56	0	50N18	2E46	62	RIOM
1889	7	21	C	324	I	23	15	4	-1	43N42	8E 0	IM	ONEGLIA
1889	7	28	C	481	I	22	10	4	-1	43N 0	13E45	AP	MONTOTTONE
1889	8	13	C	2	F	12	20	40	0	48N50	2E20	75	PARIS 8E
1889	8	15	C	1905	F	8	4	40	0	46N 9	1W10	17	ROCHEFORT-S-M
1889	9	21	C	497	I	1	10	4	-1	45N36	9E45	BG	BERGAMO
1889	10	8	C	1146	B	0	43	0	0	50N51	4E15	BRA	ANDERLECHT
1889	10	17	C	238	F	6	35	12	0	48N42	6E12	54	NANCY
1889	10	31	C	209	F	17	36	40	0	48N 7	1W40	35	RENNES
1889	11	6	C	1320	F	1	48	56	0	50N18	2E46	62	ARRAS
1889	11	7	C	1376	F	11	21	16	0	48N50	2E11	92	LEVALLOIS-PERRET
1889	11	11	C	1009	B	4	45	0	0	51N 5	3E45	OVL	WONTERGEM
1889	12	20	C	430	I	12	10	4	-1	40N54	14E 0	NA	NAPOLI
1890	1	27	C	1124	F	3	47	40	0	50N39	3E 5	59	WATTRELOS
1890	2	16	C	337	I	4	10	4	-1	40N54	14E 0	NA	NAPOLI
1890	2	24	C	380	I	7	10	4	-1	43N42	11E 0	LU	LUCCA
1890	3	1	C	311	I	2	27	4	-1	45N 0	8E 0	TO	BRANDIZZO
1890	4	2	C	466	I	2	10	4	-1	45N30	9E15	MI	ARCORE
1890	4	22	C	1934	F	22	57	36	0	44N50	0W34	33	ARCACHON
1890	5	5	C	1156	B	7	17	0	0	51N13	3E15	WVL	IEPER
1890	5	16	C	137	F	6	52	56	0	45N16	1E46	19	TULLE
1890	5	19	C	299	I	4	40	4	-1	45N48	9E15	CO	TAVERNERIODICOM
1890	5	21	C	446	I	4	40	4	-1	44N54	8E30	AT	ROCHETTA TANARO
